Question,OptionA,OptionB,OptionC,OptionD,CorrectOption
"Iss Lafz ko german main kya kehtay hain "kawwa"?","Adler","Hund","Katze","Krähe","D"
"Kaise kaha jata hai "Apna naam batao" german mein?","Sag mir deinen Namen","Wie heißt du?","Wer bist du?","Was ist das?","A"
"Ap kahan se hain? ko german mein kaise kehte hain?","Woher kommen Sie?","Wo bist du?","Wie geht es Ihnen?","Was machst du?","A"
"Kitne saal ke ho? ko german mein kaise kehte hain?","Wie alt bist du?","Wie viele Jahre bist du?","Was ist dein Alter?","Wann bist du geboren?","A"
"Tum apni farigh waqt mein kya karna pasand karte ho? ka german translation kya hai?","Was machst du in deiner Freizeit gerne?","Was ist deine Lieblingsfarbe?","Was isst du gerne?","Wo wohnst du?","A"
"Kya tumhare bhai behan hain? ko german mein kaise kehte hain?","Haben Sie Geschwister?","Wie viele Geschwister hast du?","Woher kommst du?","Wer bist du?","A"
"Kya tumhara kaam pasand hai? ko german mein kaise kaha jata hai?","Magst du deinen Beruf?","Wie geht es dir?","Was machst du?","Was ist dein Hobby?","A"
"Tumhara pasandeeda khana kya hai? ka german translation kya hai?","Was isst du gerne?","Was ist dein Lieblingsessen?","Wie alt bist du?","Woher kommst du?","B"
"Haftay ke dinon mein tum kya karna pasand karte ho? ko german mein kaise kehte hain?","Was machst du gerne am Wochenende?","Wie heißt du?","Wo wohnst du?","Wie geht es Ihnen?","A"
"Kya tum shadi-shuda ho? ko german mein kaise kaha jata hai?","Bist du verheiratet?","Hast du Kinder?","Wie heißt du?","Woher kommst du?","A"
"German mein 'dog' ko kya kehte hain?","Katze","Hund","Pferd","Kuh","B"
"German mein 'house' ka kya matlab hai?","Auto","Zimmer","Haus","Straße","C"
"German mein 'book' ko kya kehte hain?","Buch","Tisch","Stuhl","Lampe","A"
"German mein 'car' ko kya kehte hain?","Bus","Auto","Fahrrad","Zug","B"
"German mein 'father' ko kya kehte hain?","Mutter","Bruder","Vater","Schwester","C"